x,y,ppm,windspeed,winddir,is_source,Q,Alongwind,Crosswind
274074.77,4684236.54,0.0,4.67,59.6,False,0.0,200.01,179.44
274079.01,4684189.84,0.0,5.39,71.43,False,0.0,243.4,89.01
274136.32,4684182.41,7.89,5.7,89.68,False,0.0,201.76,0.56
274170.81,4684150.57,5.47,6.55,74.26,False,0.0,169.79,14.18
274193.63,4684087.96,0.0,4.95,18.1,False,0.0,135.2,107.78
274103.95,4684111.31,3.74,5.85,69.12,False,0.0,244.3,16.48
274102.89,4684050.82,0.0,7.39,82.55,False,0.0,250.34,-100.55
274179.83,4684011.02,0.53,4.81,54.61,False,0.0,228.6,-48.54
274148.52,4684070.45,0.61,3.69,46.56,False,0.0,215.01,48.63
274246.16,4684141.55,0.0,4.0,10.33,False,0.0,57.24,83.0
274266.32,4684081.06,0.0,6.74,4.4,False,0.0,107.12,63.73
274243.51,4684030.65,0.0,5.72,87.88,False,0.0,100.14,-148.73
274319.92,4683992.45,0.0,7.03,23.85,False,0.0,181.6,-60.43
274385.71,4684001.47,0.0,6.65,16.0,False,0.0,161.35,-95.82
274392.61,4684057.71,0.0,5.98,11.84,False,0.0,111.42,-79.07
274334.77,4684043.92,0.0,6.99,29.36,False,0.0,122.82,-65.3
274317.26,4684109.72,0.0,7.19,81.04,False,0.0,31.98,-69.12
274381.47,4684125.63,0.0,5.02,79.46,False,0.0,-32.17,-64.32
274363.96,4684180.82,0.0,3.75,23.01,False,0.0,-8.13,-24.67
274318.26,4684146.98,3.51,4.86,45.01,False,0.0,39.47,-11.45
