OBJECTID *,SHAPE *,X,Y,Direction,Speed
1,Point Z,274074.7653,4684236.536,59.6,4.67
2,Point Z,274079.0103,4684189.84,71.43,5.39
3,Point Z,274136.3182,4684182.412,89.68,5.7
4,Point Z,274170.809,4684150.574,74.26,6.55
5,Point Z,274193.626,4684087.96,18.1,4.95
6,Point Z,274103.9498,4684111.307,69.12,5.85
7,Point Z,274102.8886,4684050.816,82.55,7.39
8,Point Z,274179.8297,4684011.019,54.61,4.81
9,Point Z,274148.5226,4684070.449,46.56,3.69
10,Point Z,274246.1582,4684141.553,10.33,4
11,Point Z,274266.3221,4684081.062,4.4,6.74
12,Point Z,274243.5051,4684030.652,87.88,5.72
13,Point Z,274319.9155,4683992.447,23.85,7.03
14,Point Z,274385.7134,4684001.467,16,6.65
15,Point Z,274392.6116,4684057.714,11.84,5.98
16,Point Z,274334.7731,4684043.918,29.36,6.99
17,Point Z,274317.2624,4684109.716,81.04,7.19
18,Point Z,274381.4684,4684125.634,79.46,5.02
19,Point Z,274363.9577,4684180.82,23.01,3.75
20,Point Z,274318.2647,4684146.977,45.01,4.86
